Dataset,ISO8601_Datetime,Latitude_[degree_north],Longitude_[degree_east],Temperature_[cel],CTD_Temperature_WOCE_Flag,CTD_Pressure_[dbar],Depth_From_Pressure_[meters_below_surface],Sample_Depth_[meters_below_surface],Combined_Depth_[meters_below_surface],Delta_O18_[permille],Delta_O18_WOCE_Flag_Translated,Delta_O18_WOCE_Flag_Original,O18_Standard,Barium,Barium_WOCE_Flag,Barium_Units,CTD_Salinity_[dimensionless],CTD_Salinity_WOCE_Flag,Bottle_Salinity_[dimensionless],Bottle_Salinity_WOCE_Flag,Cruise_ID,Station_ID_Name,Site_Number_Name,Sample_ID,Cast_Number,Bottle_Number,Event,Rosette_Position,Platform,BIOPOLE,Freshwater,Freshwater_Source,Land_Based
ArcticNet,2016-06-09T17:25:00,68.4975,-56.7956,3.8784,,362.852,358.8961106,,358.8961106,0.42,2,2,VSMOW,,,,34.6219,,34.633,2,1601,G100,,,3,1,,,,False,False,,False
ArcticNet,2016-06-09T17:33:00,68.4975,-56.7951,-0.9372,,60.178,59.56551994,,59.56551994,-0.24,6,6,VSMOW,,,,33.7826,,33.787,2,1601,G100,,,3,6,,,,False,False,,False
ArcticNet,2016-06-09T17:34:00,68.4975,-56.7948,-1.5417,,50.106,49.59724255,,49.59724255,-0.22,3,3,VSMOW,,,,33.6925,,33.6964,2,1601,G100,,,3,7,,,,False,False,,False
ArcticNet,2016-06-09T17:38:00,68.4973,-56.794,-0.974,,39.998,39.59284682,,39.59284682,-0.17,3,3,VSMOW,,,,33.5913,,33.6109,2,1601,G100,,,3,11,,,,False,False,,False
ArcticNet,2016-06-09T17:40:00,68.4973,-56.7936,0.5214,,30.177,29.87203892,,29.87203892,-0.35,3,3,VSMOW,,,,33.5408,,33.5556,2,1601,G100,,,3,13,,,,False,False,,False
ArcticNet,2016-06-09T17:42:00,68.4974,-56.7933,0.7898,,20.543,20.33587303,,20.33587303,-0.34,2,2,VSMOW,,,,33.4997,,33.5146,2,1601,G100,,,3,15,,,,False,False,,False
ArcticNet,2016-06-09T17:44:00,68.4974,-56.793,0.7737,,10.42,10.31519272,,10.31519272,-0.09,2,2,VSMOW,,,,33.4989,,33.5133,2,1601,G100,,,3,17,,,,False,False,,False
ArcticNet,2016-06-09T17:47:00,68.4974,-56.7926,0.8105,,1.914,1.894787582,,1.894787582,-0.29,2,2,VSMOW,,,,33.4983,,33.5118,2,1601,G100,,,3,21,,,,False,False,,False
ArcticNet,2016-06-10T08:09:00,68.4954,-57.1305,3.8872,,364.325,360.351819,,360.351819,0.3,2,2,VSMOW,,,,34.6448,,34.6561,2,1601,G101,,,5,1,,,,False,False,,False
ArcticNet,2016-06-10T08:12:00,68.4952,-57.1295,3.8008,,301.49,298.2473026,,298.2473026,0.33,2,2,VSMOW,,,,34.6178,,34.631,2,1601,G101,,,5,3,,,,False,False,,False
